Paso,Temperatura,Prob_auditoria,%Evasion
0,2.5,0.05,0.5208
1,2.5,0.05,0.5108
2,2.5,0.05,0.5056
3,2.5,0.05,0.5212
4,2.5,0.05,0.5184
5,2.5,0.05,0.5104
6,2.5,0.05,0.5056
7,2.5,0.05,0.5192
8,2.5,0.05,0.522
9,2.5,0.05,0.5188
10,2.5,0.05,0.5056
11,2.5,0.05,0.516
12,2.5,0.05,0.5112
13,2.5,0.05,0.516
14,2.5,0.05,0.5188
15,2.5,0.05,0.5156
16,2.5,0.05,0.5144
17,2.5,0.05,0.5204
18,2.5,0.05,0.5176
19,2.5,0.05,0.5172
20,2.5,0.05,0.512
21,2.5,0.05,0.5164
22,2.5,0.05,0.5224
23,2.5,0.05,0.5164
24,2.5,0.05,0.5176
25,2.5,0.05,0.5208
26,2.5,0.05,0.5072
27,3.0,0.05,0.5232
28,3.0,0.05,0.5076
29,3.5,0.05,0.5304
30,4.0,0.05,0.5104
31,4.0,0.05,0.5232
32,4.0,0.05,0.5204
33,4.0,0.0,0.5096
34,4.0,0.0,0.5228
35,4.0,0.0,0.5184
36,4.0,0.0,0.5148
37,4.0,0.0,0.52
38,4.0,0.0,0.5236
39,4.0,0.0,0.5236
40,4.5,0.0,0.5304
41,5.0,0.0,0.5172
42,5.5,0.0,0.5196
43,5.0,0.0,0.5332
44,5.0,0.0,0.5204
45,4.5,0.0,0.5172
46,3.0,0.0,0.5216
47,2.5,0.0,0.5328
48,1.5,0.0,0.5312
49,1.0,0.0,0.5216
50,0.5,0.0,0.5312
51,0.01,0.0,0.5412
52,0.01,0.0,0.5388
53,0.01,0.0,0.5368
54,0.01,0.0,0.5324
55,0.01,0.0,0.532
56,0.01,0.0,0.5324
57,0.01,0.0,0.5308
58,0.01,0.0,0.53
59,0.01,0.0,0.5304
60,0.01,0.0,0.5296
61,0.01,0.0,0.5296
62,0.01,0.0,0.53
63,0.01,0.0,0.53
64,0.01,0.0,0.5296
65,0.01,0.0,0.5296
66,0.01,0.0,0.5296
67,0.01,0.0,0.5296
68,0.01,0.0,0.5296
69,0.01,0.0,0.5296
70,0.01,0.0,0.5296
71,0.01,0.0,0.5296
72,0.01,0.0,0.5296
73,0.01,0.0,0.5296
74,0.01,0.0,0.5296
75,0.01,0.0,0.5296
76,0.01,0.0,0.5296
77,0.01,0.0,0.5296
78,0.01,0.0,0.5296
79,0.01,0.0,0.5296
80,0.01,0.0,0.5296
81,0.01,0.0,0.5296
82,0.01,0.0,0.5296
83,0.01,0.0,0.5296
84,0.01,0.0,0.5296
85,0.01,0.0,0.5296
86,0.01,0.0,0.5296
87,0.01,0.0,0.5296
88,0.01,0.0,0.5296
